sample_id,condition,algorithm,dataset_id,seed,outcome,review_applicable,status,verdict,attempt_count,record_path,record_sha256
review_000001,clean,ground_truth,BPG3,,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000001.json,f3eb0bdfca9a139f2cf19f17df8d9ac6cc75ab0367e4ae462bac3b57c70eea14
review_000002,clean,ground_truth,BPG5,,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000002.json,17c152f8e73d62e65a1af32a53cab0be89995ce15c94a95ce8617e87067cacd2
review_000003,clean,ground_truth,BPG9,,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000003.json,89771a07fda90727f1426d32e67c8735e03bd4197d42a02b81e316412de43e49
review_000004,clean,ground_truth,CRK0,,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000004.json,f73faa888f583e39b6a26a5072342bb7adaee6367a3b5aa0da45259d65b4ce64
review_000005,clean,ground_truth,CRK10,,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000005.json,c36164ffae187de87ad9ac3913ece3d763a328867f7c71ff4cee4f4df452c8d7
review_000006,clean,ground_truth,CRK11,,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000006.json,66ab89701d82414b66d1cec8b19a27593a1fe3e278ab18bf43ff539d8b12af82
review_000007,clean,ground_truth,CRK33,,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000007.json,db87cadd8763015be1f432fcacaf09ee1945f733605e07156360a53fb7b70424
review_000008,clean,ground_truth,CRK34,,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000008.json,65a80ead117453f444af75a4f9585cc2fcae98488a39b806533d58e720bf9ac0
review_000009,clean,ground_truth,I.11.19_4_0,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000009.json,292ffc84eef6fe722366c917b2bed45f8f9dd7d193527defca50da2cfd637285
review_000010,clean,ground_truth,II.11.27_1_0,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000010.json,0e4cb10948476549c135ce9529c134c114165f05ccb1614a4bb8dce2e9b86740
review_000011,clean,ground_truth,II.34.2_1_0,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000011.json,2131fe3137bf8fc05675bb0638ddeb6ed174d8a42aaadbbb7c34ba09120e0004
review_000012,clean,ground_truth,II.6.15b_3_0,,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000012.json,2e9b0eb152f3a32d983b0b38e9e9028637b7f4addd7b82f883787c962297d0cb
review_000013,clean,ground_truth,III.21.20_3_0,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000013.json,fa6cc2a691b3a079cc0cb51a2ae1dcffb6e6f192bcc91b74a50ff8817323b9bb
review_000014,clean,ground_truth,Keijzer-11,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000014.json,bbdecd8a06e58dd9ad5fbba4aec36ffcb3bf8028ff710647119693402ef22c8d
review_000015,clean,ground_truth,Keijzer-2,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000015.json,e877649802a49a4cecfed27cf38a4a5131f0c5a7b5debce9d8cb07d670bb7a52
review_000016,clean,ground_truth,Korns-2,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000016.json,d9bc7521a188bd27c2899f039fd5a2b1ae84c5bf0b73083d81d6d150739d8273
review_000017,clean,ground_truth,Korns-4,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000017.json,a49cd8ee6f9a4fb44480f9858ce63b2eebe4933aaa9757c4ac9b8a41e4e950af
review_000018,clean,ground_truth,MatSci21,,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000018.json,eb844d77eb3d4e6df80dd070f93bc1806cedd4bc3feead293909b3509a67e9c7
review_000019,clean,ground_truth,Nguyen-12,,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000019.json,9ba5974852680fff2f0c87a95f5973348355cd965ef65bed703ad2abbc10efd7
review_000020,clean,ground_truth,Nguyen-6,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000020.json,f4931812d8903670a989a8eb5356f99385b3d5f57e125f5531a22f88953e2b3e
review_000021,clean,ground_truth,Nguyen-9,,unchanged,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000021.json,098bf7a1c013212450ea3cacb17c88fd96c6ee353cb55fb3d6f360315abe521a
review_000022,clean,ground_truth,PO19,,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000022.json,88ef2ad6b5e742d322c73bc0d3ed2738bb6dadfe3379a6522dd871b1d0849742
review_000023,clean,ground_truth,PO41,,simplified,True,completed,pass,1,per_model/gpt-5.6-sol/tasks/review_000023.json,f89a8534d8f14b5ed230e51aaad38379dfe9214a0721e1fca413173cad04fd11
