algorithm,gid,dataset,seed,status,valid_output,metric_complete,valid_for_symbolic,expr_source,result_path,pred_expression_raw,pred_expression_cleaned,gt_expression_x,pred_parse_ok,gt_parse_ok,cas_equivalence_enabled,cas_equiv,numeric_equiv,numeric_equiv_reason,equiv_final,probe_nmse,probe_max_abs_error,probe_max_rel_error,probe_points,finite_probe_points,finite_probe_rate,tree_edit_distance,true_tree_size,ned,tree_similarity,pred_variables,gt_variables,var_f1,pred_operators,gt_operators,op_f1,sof1,sym_f_formal,failure_reason
drsr,g0001,II.34.2_1_0,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-03/turbo/drsr/seed0/anon-node-03/drsr/g0001_II.34.2_1_0/result.json,-0.6328742356560083 + 0.32537246497090994*x0 + 0.47860012231637516*x1/x2,-0.6328742356560083 + 0.32537246497090994*x0 + 0.47860012231637516*x1/x2,2 * x0 / (x1 * x2),True,True,True,False,False,not_equivalent,False,0.7499102241968228,129.4292863636885,0.8737693633359319,4096.0,4096.0,1.0,11.0,9.0,1.0,0.0,"[""x0"", ""x1"", ""x2""]","[""x0"", ""x1"", ""x2""]",1.0,"[""add"", ""mul"", ""pow""]","[""mul"", ""pow""]",0.8,0.9,0.18000000000000002,
drsr,g0002,first_principles_hubble,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-02/base/drsr/seed0/anon-node-02/drsr/g0002_first_principles_hubble/result.json,-103.64964948486204 + 956.2601929064703*x0 + -257.58610090955204*x0**2 + 73.3*-0.9691335859339049,-103.64964948486204 + 956.2601929064703*x0 + -257.58610090955204*x0**2 + 73.3*-0.9691335859339049,73.3 * x0,True,True,True,False,False,not_equivalent,False,104.13437049795589,581.9712138083568,3.957438147663844,4096.0,4096.0,1.0,9.0,3.0,1.0,0.0,"[""x0""]","[""x0""]",1.0,"[""add"", ""mul"", ""pow""]","[""mul""]",0.5,0.75,0.15000000000000002,
drsr,g0003,feynman-ii.27.18,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-03/turbo/drsr/seed0/anon-node-03/drsr/g0003_feynman-ii.27.18/result.json,0.5*1.7633220609641562e-11*x0**2,0.5*1.7633220609641562e-11*x0**2,8.854e-12 * x0 ** 2,True,True,True,False,True,max_rel+max_abs,True,3.990159545969757e-05,5.915438050483021e-12,5.915438050483021e-12,4096.0,4096.0,1.0,0.0,5.0,0.0,1.0,"[""x0""]","[""x0""]",1.0,"[""mul"", ""pow""]","[""mul"", ""pow""]",1.0,1.0,1.0,
drsr,g0004,Korns-4,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-02/base/drsr/seed0/anon-node-02/drsr/g0004_Korns-4/result.json,-2.298103246194481 + -0.0002523462953553641*x0 + 0.0004598903086947817*x1 + 1.816440958316064e-05*x2 + 0.0005509537282727154*x3 + -0.00014873483599180538*x4 + 4.088442236669012e-06*x0**2 + 1.9878852778710164e-05*x1**2 + -1.8618521680867955e-05*x2**2 + -0.049131698222412326*sin(x0*x1),-2.298103246194481 + -0.0002523462953553641*x0 + 0.0004598903086947817*x0 + 1.816440958316064e-05*x1 + 0.0005509537282727154*x2 + -0.00014873483599180538*x3 + 4.088442236669012e-06*x0**2 + 1.9878852778710164e-05*x0**2 + -1.8618521680867955e-05*x1**2 + -0.049131698222412326*sin(x0*x0),0.13 * sin(x2) - 2.3,True,True,True,False,False,"extra_pred_variables:x0,x1,x3",False,,,,,,,25.0,6.0,1.0,0.0,"[""x0"", ""x1"", ""x2"", ""x3""]","[""x2""]",0.4,"[""add"", ""mul"", ""pow"", ""sin""]","[""add"", ""mul"", ""sin""]",0.8571428571428571,0.6285714285714286,0.12571428571428572,"numeric:extra_pred_variables:x0,x1,x3"
drsr,g0005,Keijzer-11,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-03/turbo/drsr/seed0/anon-node-03/drsr/g0005_Keijzer-11/result.json,-0.8882583045603255 + 3.678739128199142*sin(0.744532194755483*x0)*sin(0.9152273605929832*x1) + 1.5960076524043751*cos(1.1756028229531086*(x0 + x1)) + 0.3198088079924434*x0**2 + 0.37082478867410634*x1**2 + -0.27407234728795254*sin(-3.7673104387026344*x0),-0.8882583045603255 + 3.678739128199142*sin(0.744532194755483*x0)*sin(0.9152273605929832*x0) + 1.5960076524043751*cos(1.1756028229531086*(x0 + x0)) + 0.3198088079924434*x0**2 + 0.37082478867410634*x0**2 + -0.27407234728795254*sin(-3.7673104387026344*x0),x0 * x1 + sin((x0 - 1) * (x1 - 1)),True,True,True,False,False,not_equivalent,False,2.64336963228009,18.03035429407266,1.7011547268861635,4096.0,4096.0,1.0,28.0,12.0,1.0,0.0,"[""x0""]","[""x0"", ""x1""]",0.6666666666666666,"[""add"", ""cos"", ""mul"", ""pow"", ""sin""]","[""add"", ""mul"", ""sin""]",0.7499999999999999,0.7083333333333333,0.14166666666666666,
drsr,g0006,Keijzer-2,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-02/base/drsr/seed0/anon-node-02/drsr/g0006_Keijzer-2/result.json,-9.16644769127518 + -15.395927740057656*log(Abs(x0 + 1.0e-6) + 1) + 0.44017082941270913*sin(3*Abs(x0)) + 7.5065481068666005*exp(-Abs(x0)) + 0.08871185102142197*tanh(x0) + 8.483382197212057*x0**2 + 0.02237275336940864*x0**3 + -0.07291274993188354*exp(x0) + 10.761996112797991*sin(2*Abs(x0)) + 1.7226338429235417*cos(4*Abs(x0)),-9.16644769127518 + -15.395927740057656*log(Abs(x0 + 1.0e-6) + 1) + 0.44017082941270913*sin(3*Abs(x0)) + 7.5065481068666005*exp(-Abs(x0)) + 0.08871185102142197*tanh(x0) + 8.483382197212057*x0**2 + 0.02237275336940864*x0**3 + -0.07291274993188354*exp(x0) + 10.761996112797991*sin(2*Abs(x0)) + 1.7226338429235417*cos(4*Abs(x0)),0.3 * x0 * sin(2 * 3.141592653589793 * x0),True,True,True,False,False,not_equivalent,False,1.81105307746656,2.337230879583961,2.337230879583961,4096.0,4096.0,1.0,56.0,7.0,1.0,0.0,"[""x0""]","[""x0""]",1.0,"[""abs"", ""add"", ""cos"", ""exp"", ""log"", ""mul"", ""pow"", ""sin"", ""tanh""]","[""mul"", ""sin""]",0.3636363636363636,0.6818181818181818,0.13636363636363635,
drsr,g0007,Korns-2,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-03/turbo/drsr/seed0/anon-node-03/drsr/g0007_Korns-2/result.json,-5.354286657432791 + -0.007696718050283154*x0**2 + 0.00015110974669591305*x1**3 + -0.2981398702713194*x2 + 0.0034441943838394553*x3**2 + 3.575366656826303e-05*x4**3 + 0.007730330712878364*x0*x1 + -0.011416050193617477*x0*x2 + -0.004785247422021367*x1*x3 + -0.0015238105160533912*x2*x4,-5.354286657432791 + -0.007696718050283154*x0**2 + 0.00015110974669591305*x0**3 + -0.2981398702713194*x1 + 0.0034441943838394553*x2**2 + 3.575366656826303e-05*x3**3 + 0.007730330712878364*x0*x0 + -0.011416050193617477*x0*x1 + -0.004785247422021367*x0*x2 + -0.0015238105160533912*x1*x3,"0.23 + 14.2 * div(x3 + x1, 3 * x4)",True,True,False,False,False,"extra_pred_variables:x0,x2",False,,,,,,,34.0,10.0,1.0,0.0,"[""x0"", ""x1"", ""x2"", ""x3""]","[""x1"", ""x3"", ""x4""]",0.5714285714285715,"[""add"", ""mul"", ""pow""]","[""add"", ""mul"", ""pow""]",1.0,0.7857142857142858,0.15714285714285717,"numeric:extra_pred_variables:x0,x2"
drsr,g0008,Nguyen-12,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-02/base/drsr/seed0/anon-node-02/drsr/g0008_Nguyen-12/result.json,-1.632440700489733e-10 + 1.0948967974705218e-08*x0 + -1.0000000076328597*x1 + -5.261891529382211e-08*x0**2 + 0.5000000443007805*x1**2 + -0.9999999165088651*x0**3 + -7.671198358598692e-08*x1**3 + 0.9999999579754146*x0**4 + 4.0044106857576335e-08*x1**4 + 4.890756174516626e-10*x0*x1,-1.632440700489733e-10 + 1.0948967974705218e-08*x0 + -1.0000000076328597*x0 + -5.261891529382211e-08*x0**2 + 0.5000000443007805*x0**2 + -0.9999999165088651*x0**3 + -7.671198358598692e-08*x0**3 + 0.9999999579754146*x0**4 + 4.0044106857576335e-08*x0**4 + 4.890756174516626e-10*x0*x0,"pow(x0, 4) - pow(x0, 3) + div(pow(x1, 2), 2) - x1",True,True,False,False,False,not_equivalent,False,1.8000018324547509,0.49372021237939734,0.49372021237939734,4096.0,4096.0,1.0,8.0,17.0,0.47058823529411764,0.5294117647058824,"[""x0""]","[""x0"", ""x1""]",0.6666666666666666,"[""add"", ""mul"", ""pow""]","[""add"", ""mul"", ""pow""]",1.0,0.8333333333333333,0.3254901960784313,
drsr,g0009,Nguyen-6,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-03/turbo/drsr/seed0/anon-node-03/drsr/g0009_Nguyen-6/result.json,-0.2032579678592691 + 4.883795604309268*x0 + -0.6627536453318865*x0**2 + -1.7868348593421983*sin(2*x0) + -0.2873596110027181*cos(3*x0) + 0.4843734859961317*exp(1.424722441304653*(x0 + 1.0e-6)) + -2.3589379340411765e-05*log(Abs(x0 + 1.0e-6)) + -2.954806141202031*x0**3 + 0.006202302315107171*cos(2*pi*x0),-0.2032579678592691 + 4.883795604309268*x0 + -0.6627536453318865*x0**2 + -1.7868348593421983*sin(2*x0) + -0.2873596110027181*cos(3*x0) + 0.4843734859961317*exp(1.424722441304653*(x0 + 1.0e-6)) + -2.3589379340411765e-05*log(Abs(x0 + 1.0e-6)) + -2.954806141202031*x0**3 + 0.006202302315107171*cos(2*pi*x0),"sin(x0) + sin(x0 + pow(x0, 2))",True,True,True,False,False,not_equivalent,False,0.0009557154953248518,0.16875040206182834,0.09498016361144403,4096.0,4096.0,1.0,47.0,9.0,1.0,0.0,"[""x0""]","[""x0""]",1.0,"[""abs"", ""add"", ""cos"", ""exp"", ""log"", ""mul"", ""pi"", ""pow"", ""sin""]","[""add"", ""pow"", ""sin""]",0.5,0.75,0.15000000000000002,
drsr,g0010,Nguyen-9,0,ok,True,True,True,result_json.canonical_artifact.instantiated_expression,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/05.Core50噪声鲁棒性评测/results/remote_artifacts_clean_modelsplit_slim_20260504-224415/clean/core50_llmsr_drsr_modelsplit_rerun_20260503/anon-node-02/base/drsr/seed0/anon-node-02/drsr/g0010_Nguyen-9/result.json,5.32533046162749 + 1.0727229594632117*x0 + -0.08130385927021154*x1 + 0.2355282670168863*x0**2 + -2.3439396593546094*x1**2 + -0.007849731319103739*x0*x1 + 0.3813653865701021*sin(x0) + -7.114467796267469*cos(x1) + -0.4592970223710601*exp(x0) + 2.2540617096804563,5.32533046162749 + 1.0727229594632117*x0 + -0.08130385927021154*x0 + 0.2355282670168863*x0**2 + -2.3439396593546094*x0**2 + -0.007849731319103739*x0*x0 + 0.3813653865701021*sin(x0) + -7.114467796267469*cos(x0) + -0.4592970223710601*exp(x0) + 2.2540617096804563,"sin(x0) + sin(pow(x1, 2))",True,True,True,False,False,not_equivalent,False,1.144816170895022,0.9407795963608435,0.5187456839311771,4096.0,4096.0,1.0,18.0,7.0,1.0,0.0,"[""x0""]","[""x0"", ""x1""]",0.6666666666666666,"[""add"", ""cos"", ""exp"", ""mul"", ""pow"", ""sin""]","[""add"", ""pow"", ""sin""]",0.6666666666666666,0.6666666666666666,0.13333333333333333,
