sample_id,logical_id,condition,dataset_id,seed,opus_outcome,verdict,failure_class,confidence,brief_reason,counterexample,task_record
review_000651,pred_simplify::gplearn::g0001::s520::clean,clean,Keijzer-11,520,simplified,pass,,0.99,"Under protected sqrt semantics, x1**2*sqrt(x1**2*(x1-0.077)) = x1**2*sqrt(abs(x1**2*(x1-0.077))) = |x1|**3*sqrt(abs(x1-0.077)), while sqrt(x1**6*(x1-0.077)) = sqrt(abs(x1**6*(x1-0.077))) = |x1|**3*sqrt(abs(x1-0.077)). Thus the cosine arguments and all remaining terms agree, including the real-domain condition imposed by the fourth root. Variables and protected-operator values are preserved with reduced complexity.",,per_model/gpt-5.6-sol/tasks/review_000651.json
review_000671,pred_simplify::gplearn::g0021::s520::clean,clean,Nguyen-12,520,simplified,pass,,0.99,"The authoritative native expression is -0.586*sqrt(abs(x2*sqrt(abs(x2))*A)), where A is the trigonometric sum. On the proposed expression's common real domain (x2>=0), this equals -0.586*x2^(3/4)*sqrt(abs(A)), exactly the proposed value under protected sqrt semantics. The proposal excludes negative x2, so the domain is not preserved, but domain-only differences do not cause failure.",,per_model/gpt-5.6-sol/tasks/review_000671.json
review_000675,pred_simplify::gplearn::g0025::s520::clean,clean,feynman_I_12_11,520,simplified,pass,,1.0,"Factoring the common factor q gives q*Ef + q*B*v*sin(theta) = q*(Ef + B*v*sin(theta)) by distributivity. All variables retain their identities, no protected operators are changed, the real-valued domain is unchanged, and one multiplication is eliminated.",,per_model/gpt-5.6-sol/tasks/review_000675.json
review_000676,pred_simplify::gplearn::g0026::s520::clean,clean,feynman_I_27_6,520,simplified,pass,,0.99,"Let q=div(d2,n) and L=log(d1) under the protected semantics. The original magnitude simplifies to sqrt(sqrt(|q|)*sqrt(|qL|))=|q|^(1/2)|L|^(1/4). On the proposed expression's real-valued domain, L>=0, so this equals sqrt(q)*L^(1/4); the sine factor is unchanged. The fractional power contracts the real domain when L<0, but domain-only differences do not prevent a pass.",,per_model/gpt-5.6-sol/tasks/review_000676.json
review_000682,pred_simplify::gplearn::g0032::s520::clean,clean,strogatz_vdp1,520,simplified,pass,,0.999,"The rewrite uses x-(-y-s)L = x+(y+s)L and factors 0.87*x-0.87*y as 0.87*(x-y). These identities preserve the protected log's input and value for all real x,y, while reducing expression complexity.",,per_model/gpt-5.6-sol/tasks/review_000682.json
review_000684,pred_simplify::gplearn::g0034::s520::clean,clean,first_principles_leavitt,520,simplified,pass,,0.999,"The rewrites are algebraically exact: -c*logP*(-logP-0.608)=c*logP*(logP+0.608), and c*logP*(-logP-0.593)=-c*logP*(logP+0.593). All protected log, sqrt, and division operations remain in the same positions with the same arguments after these equivalent sign normalizations. The variable mapping and all-real protected domain are preserved, while redundant negations are removed.",,per_model/gpt-5.6-sol/tasks/review_000684.json
review_000700,pred_simplify::gplearn::g0050::s520::clean,clean,Vladislavleva-4,520,unchanged,pass,,1.0,"Both literals denote exactly the same real constant, 0.505. Their domains are identical, and no variables or operators are present.",,per_model/gpt-5.6-sol/tasks/review_000700.json
review_000703,pred_simplify::gplearn::g0003::s521::clean,clean,Korns-2,521,simplified,fail,protected_operator_semantics,1.0,The algebraic consolidation is invalid under gplearn protected division. Combining several separately protected divisions into one division by x5 changes values when |x5|<=0.001.,"At x2=1, x3=0, x4=1, x5=0, all protected operations are real-valued. The original evaluates to 4 (each of its four outer protected fractions evaluates to 1), while the proposed expression evaluates to 2 (the consolidated fraction evaluates to 1 and the unchanged final fraction evaluates to 1).",per_model/gpt-5.6-sol/tasks/review_000703.json
review_000711,pred_simplify::gplearn::g0011::s521::clean,clean,CRK33,521,simplified,fail,protected_operator_semantics,1.0,"Protected log prevents log(A**2)=2*log(A) near the threshold. For 0.001<|A|<=sqrt(0.001), log(A**2) returns 0 while log(A) is nonzero, so the inner terms differ.","A=0.01: original inner log(A**2)=log(0.0001)=0, giving original value -log(0.01)=4.605170186; proposed uses 2*log(0.01)=-9.210340372 and adds sin(sin(sqrt(9.210340372)))≈0.1063, so the values differ.",per_model/gpt-5.6-sol/tasks/review_000711.json
review_000714,pred_simplify::gplearn::g0014::s521::clean,clean,II.11.27_1_0,521,simplified,fail,protected_operator_semantics,1.0,"The proposed algebra does not preserve the authoritative protected-division semantics. At Pol=n=epsilon=Ef=1, an inner zero denominator in the native program triggers protected div(a,0)=1, producing a different value from the proposed expression. The proposed fractional powers also restrict the otherwise total native protected domain.","Pol=1, n=1, epsilon=1, Ef=1: authoritative native original = 1/0.358 ≈ 2.793296089385475, while proposed = 1/1.358 ≈ 0.736377025036819.",per_model/gpt-5.6-sol/tasks/review_000714.json
