sample_id,logical_id,condition,algorithm,dataset_id,seed,opus_outcome,original_equals_effective,failure_class,equivalence,domain_preserved,variable_mapping_preserved,operator_semantics_preserved,simplicity,confidence,brief_reason,counterexample,native_evidence_attached,task_record
review_000179,pred_simplify::drsr::g0029::s522::clean,clean,drsr,strogatz_barmag2,522,unchanged,false,equivalent_but_more_complex,pass,true,true,true,more_complex,0.98,"The expressions are algebraically equivalent for all real x and y: 0.5845521718178193*(-x + y) equals -0.5845521718178193*x + 0.5845521718178193*y, and all other changes are reorderings or sign normalization. However, expanding the exponential argument duplicates a multiplication, making the proposal more complex, so it does not satisfy the simplification pass contract.",,false,per_model/gpt-5.6-sol/tasks/review_000179.json
review_000236,pred_simplify::dso::g0036::s520::clean,clean,dso,feynman-iii.7.38,520,simplified,false,equivalent_but_more_complex,pass,true,true,true,more_complex,0.97,"The sine argument is obtained by exact expansion of the original nested quotient, so the expressions agree on the same real domain (x0 != 0 and the common sine denominator nonzero). Variable identities and ordinary real operator semantics are preserved. However, the expanded form has a slightly higher operation count, so it does not satisfy the requirement that a passing simplification be no more complex.",,false,per_model/gpt-5.6-sol/tasks/review_000236.json
review_000292,pred_simplify::dso::g0042::s521::clean,clean,dso,feynman-i.15.3t,521,simplified,false,equivalent_but_more_complex,pass,true,true,true,more_complex,0.99,"On the shared domain x1>0, log(x1**5)=5*log(x1), and distributing x1 gives the proposed expression exactly. However, the proposed form has more operator occurrences than the original, so it does not satisfy the simplicity requirement.",,false,per_model/gpt-5.6-sol/tasks/review_000292.json
review_000307,pred_simplify::dso::g0007::s522::clean,clean,dso,BPG9,522,simplified,false,equivalent_but_more_complex,pass,false,true,true,more_complex,0.9,"Multiplying the original denominator by P*t yields (-P*t**2+t**2+t+exp(t)), so the expressions agree on the original/common domain. The proposed form expands the domain to cases such as t=0, but domain-only changes do not affect equivalence. However, it has more arithmetic operation nodes than the original, so it does not satisfy the requirement that a passing simplification be no more complex.",,false,per_model/gpt-5.6-sol/tasks/review_000307.json
review_000326,pred_simplify::dso::g0026::s522::clean,clean,dso,feynman_I_27_6,522,simplified,false,equivalent_but_more_complex,pass,false,true,true,more_complex,0.99,"Multiplying numerator and denominator by d1 gives the proposed expression wherever the original is real-valued, so values agree on the common domain. The proposed domain is larger because it can be defined at d1=0 when d2≠0. However, the proposed form uses more arithmetic operations, so it does not satisfy the simplicity requirement.",,false,per_model/gpt-5.6-sol/tasks/review_000326.json
review_000353,pred_simplify::e2esr::g0003::s520::clean,clean,e2esr,Korns-2,520,simplified,false,equivalent_but_more_complex,pass,true,true,true,more_complex,0.99,"The product expands correctly: (0.01*x1 + 0.001)*(0.002*x3 + 20.0) = 0.00002*x1*x3 + 0.2*x1 + 0.000002*x3 + 0.02, and 0.02 + 2.41 = 2.43. The common domain and variable identities are unchanged. However, the expanded form uses more arithmetic operations than the original factored form, so it does not qualify as a simplification.",,false,per_model/gpt-5.6-sol/tasks/review_000353.json
review_000403,pred_simplify::e2esr::g0003::s521::clean,clean,e2esr,Korns-2,521,simplified,false,equivalent_but_more_complex,pass,true,true,true,more_complex,0.99,"The nested product expands exactly to 2.0e-5*x1*x3 + 0.2*x1 + 2.0e-6*x3 + 0.02, making the final constant 2.43. Thus values and domain (x5 != -0.17) are preserved, but the expanded form uses more arithmetic operations and is not a valid simplification under the pass contract.",,false,per_model/gpt-5.6-sol/tasks/review_000403.json
review_000453,pred_simplify::e2esr::g0003::s522::clean,clean,e2esr,Korns-2,522,simplified,false,equivalent_but_more_complex,pass,true,true,true,more_complex,0.99,"The product expands exactly: (0.01*x1 + 0.001)*(0.002*x3 + 20.0) = 0.00002*x1*x3 + 0.2*x1 + 0.000002*x3 + 0.02, and 0.02 + 2.41 = 2.43. Thus values and domain are preserved, but the expanded form uses more arithmetic operations than the factored original, so it does not satisfy the simplicity requirement.",,false,per_model/gpt-5.6-sol/tasks/review_000453.json
review_000466,pred_simplify::e2esr::g0016::s522::clean,clean,e2esr,II.6.15b_3_0,522,simplified,false,clear_algebraic_mismatch,fail,true,true,false,simpler,1.0,"The reciprocal theta-dependent term is correctly reducible to 13.5*(theta-2)*(theta+1)/((0.034*Ef-0.03)*(epsilon+4.5)), but the independent 0.01 was incorrectly replaced by 0.0003*(theta-2)*(theta+1). Thus values differ on the common domain.","At Ef=1, epsilon=0, theta=2, p_d=0, all denominators are nonzero. The original square-root argument before Abs is 0.01-0.0111111111111111=-0.0011111111111111, while the proposed one is -0.0111111111111111, so the outputs differ.",false,per_model/gpt-5.6-sol/tasks/review_000466.json
review_000703,pred_simplify::gplearn::g0003::s521::clean,clean,gplearn,Korns-2,521,simplified,false,protected_operator_semantics,fail,true,true,false,simpler,1.0,The algebraic consolidation is invalid under gplearn protected division. Combining several separately protected divisions into one division by x5 changes values when |x5|<=0.001.,"At x2=1, x3=0, x4=1, x5=0, all protected operations are real-valued. The original evaluates to 4 (each of its four outer protected fractions evaluates to 1), while the proposed expression evaluates to 2 (the consolidated fraction evaluates to 1 and the unchanged final fraction evaluates to 1).",true,per_model/gpt-5.6-sol/tasks/review_000703.json
