tool,task_id,seed,dataset_name,status,seconds,experiment_dir,progress_exists,progress_records,first_iteration,last_iteration,max_iteration,progress_error
drsr,drsr_s0_g0001,0,,ok,3902.471,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0001/anon-node-02/drsr/g0001_II.34.2_1_0/experiments/g0001_II.34.2_1_0_drsr_seed0_20260502-065859,True,5,1,5,5,
drsr,drsr_s0_g0012,0,,ok,3902.298,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0012/anon-node-02/drsr/g0012_feynman_I_27_6/experiments/g0012_feynman_I_27_6_drsr_seed0_20260502-070348,True,5,1,5,5,
drsr,drsr_s0_g0018,0,,ok,3901.013,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0018/anon-node-02/drsr/g0018_feynman-i.18.16/experiments/g0018_feynman-i.18.16_drsr_seed0_20260502-070708,True,7,1,7,7,
drsr,drsr_s0_g0025,0,,ok,3900.777,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0025/anon-node-02/drsr/g0025_strogatz_barmag2/experiments/g0025_strogatz_barmag2_drsr_seed0_20260502-071245,True,6,1,6,6,
drsr,drsr_s0_g0030,0,,ok,3900.999,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0030/anon-node-02/drsr/g0030_feynman-iii.7.38/experiments/g0030_feynman-iii.7.38_drsr_seed0_20260502-072815,True,9,1,9,9,
drsr,drsr_s0_g0034,0,,ok,3901.002,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0034/anon-node-02/drsr/g0034_CRK11/experiments/g0034_CRK11_drsr_seed0_20260502-073225,True,8,1,8,8,
drsr,drsr_s0_g0040,0,,ok,3901.245,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0040/anon-node-02/drsr/g0040_feynman-i.29.16/experiments/g0040_feynman-i.29.16_drsr_seed0_20260502-073738,True,5,1,5,5,
drsr,drsr_s0_g0045,0,,ok,3611.927,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0045/anon-node-02/drsr/g0045_feynman-bonus.20/experiments/g0045_feynman-bonus.20_drsr_seed0_20260502-074115,True,63,1,63,63,
drsr,drsr_s0_g0050,0,,ok,3901.112,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed0/tasks/drsr_s0_g0050/anon-node-02/drsr/g0050_BPG9/experiments/g0050_BPG9_drsr_seed0_20260502-074435,True,5,1,5,5,
drsr,drsr_s1_g0021,1,,ok,3901.124,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed1/tasks/drsr_s1_g0021/anon-node-02/drsr/g0021_feynman-i.39.22/experiments/g0021_feynman-i.39.22_drsr_seed1_20260502-080452,True,6,1,6,6,
drsr,drsr_s1_g0027,1,,ok,3902.501,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed1/tasks/drsr_s1_g0027/anon-node-02/drsr/g0027_feynman_I_12_11/experiments/g0027_feynman_I_12_11_drsr_seed1_20260502-081028,True,7,1,7,7,
drsr,drsr_s1_g0034,1,,ok,3901.161,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed1/tasks/drsr_s1_g0034/anon-node-02/drsr/g0034_CRK11/experiments/g0034_CRK11_drsr_seed1_20260502-081619,True,9,1,9,9,
drsr,drsr_s1_g0039,1,,ok,3900.972,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed1/tasks/drsr_s1_g0039/anon-node-02/drsr/g0039_CRK0/experiments/g0039_CRK0_drsr_seed1_20260502-082137,True,9,1,9,9,
drsr,drsr_s1_g0046,1,,ok,3902.11,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed1/tasks/drsr_s1_g0046/anon-node-02/drsr/g0046_II.6.15b_3_0/experiments/g0046_II.6.15b_3_0_drsr_seed1_20260502-082823,True,7,1,7,7,
drsr,drsr_s2_g0003,2,,ok,3901.324,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed2/tasks/drsr_s2_g0003/anon-node-02/drsr/g0003_feynman-ii.27.18/experiments/g0003_feynman-ii.27.18_drsr_seed2_20260502-083458,True,8,1,8,8,
drsr,drsr_s2_g0010,2,,ok,3901.034,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed2/tasks/drsr_s2_g0010/anon-node-02/drsr/g0010_Nguyen-9/experiments/g0010_Nguyen-9_drsr_seed2_20260502-084140,True,7,1,7,7,
drsr,drsr_s2_g0014,2,,ok,3611.263,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed2/tasks/drsr_s2_g0014/anon-node-02/drsr/g0014_feynman-ii.34.11/experiments/g0014_feynman-ii.34.11_drsr_seed2_20260502-084513,True,72,1,72,72,
drsr,drsr_s2_g0016,2,,ok,3902.197,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed2/tasks/drsr_s2_g0016/anon-node-02/drsr/g0016_feynman_II_15_4/experiments/g0016_feynman_II_15_4_drsr_seed2_20260502-084749,True,7,1,7,7,
drsr,drsr_s2_g0023,2,,ok,3619.482,/home/anonymous/workplace/scientific-intelligent-modelling/experiments/core50_12alg_5seed_all_20260502-065700/drsr/seed2/tasks/drsr_s2_g0023/anon-node-02/drsr/g0023_I.11.19_4_0/experiments/g0023_I.11.19_4_0_drsr_seed2_20260502-085442,True,85,1,85,85,
