method,global_index,dataset_name,result_relpath,action,reason,rerun_result_path,rerun_dataset_dir,status,seconds
gplearn,3,feynman-ii.11.20,results/W1/gplearn/anon-node-01/g0003_feynman-ii.11.20/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-01/gplearn/gplearn/g0003_feynman-ii.11.20/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20,timed_out,3603.316
gplearn,6,feynman-ii.11.27,results/W1/gplearn/anon-node-01/g0006_feynman-ii.11.27/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-01/gplearn/gplearn/g0006_feynman-ii.11.27/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27,timed_out,3603.314
gplearn,9,feynman-ii.15.4,results/W1/gplearn/anon-node-01/g0009_feynman-ii.15.4/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-01/gplearn/gplearn/g0009_feynman-ii.15.4/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,timed_out,3603.341
gplearn,15,feynman-i.41.16,results/W1/gplearn/anon-node-01/g0015_feynman-i.41.16/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-01/gplearn/gplearn/g0015_feynman-i.41.16/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,timed_out,3603.3
gplearn,26,feynman-bonus.4,results/W1/gplearn/anon-node-01/g0026_feynman-bonus.4/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-01/gplearn/gplearn/g0026_feynman-bonus.4/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.4,timed_out,3602.709
gplearn,33,feynman-iii.4.33,results/W1/gplearn/anon-node-01/g0033_feynman-iii.4.33/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-01/gplearn/gplearn/g0033_feynman-iii.4.33/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33,timed_out,3603.044
gplearn,42,feynman-bonus.5,results/W1/gplearn/anon-node-01/g0042_feynman-bonus.5/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-01/gplearn/gplearn/g0042_feynman-bonus.5/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5,timed_out,3603.465
pyoperon,6,feynman-ii.11.27,results/W2/pyoperon/anon-node-01/g0006_feynman-ii.11.27/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-02/pyoperon/pyoperon/g0006_feynman-ii.11.27/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27,ok,8.163
pyoperon,9,feynman-ii.15.4,results/W2/pyoperon/anon-node-01/g0009_feynman-ii.15.4/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-02/pyoperon/pyoperon/g0009_feynman-ii.15.4/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,ok,8.201
pyoperon,12,feynman-i.26.2,results/W2/pyoperon/anon-node-01/g0012_feynman-i.26.2/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-02/pyoperon/pyoperon/g0012_feynman-i.26.2/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.26.2,ok,8.174
pyoperon,15,feynman-i.41.16,results/W2/pyoperon/anon-node-01/g0015_feynman-i.41.16/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-02/pyoperon/pyoperon/g0015_feynman-i.41.16/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,ok,7.946
pyoperon,22,feynman-ii.11.20,results/W2/pyoperon/anon-node-01/g0022_feynman-ii.11.20/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-02/pyoperon/pyoperon/g0022_feynman-ii.11.20/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20,ok,8.168
pyoperon,25,feynman-bonus.4,results/W2/pyoperon/anon-node-01/g0025_feynman-bonus.4/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-02/pyoperon/pyoperon/g0025_feynman-bonus.4/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4,ok,8.192
pyoperon,33,feynman-iii.4.33,results/W2/pyoperon/anon-node-01/g0033_feynman-iii.4.33/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-02/pyoperon/pyoperon/g0033_feynman-iii.4.33/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33,ok,8.236
pyoperon,42,feynman-bonus.5,results/W2/pyoperon/anon-node-01/g0042_feynman-bonus.5/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-02/pyoperon/pyoperon/g0042_feynman-bonus.5/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5,ok,8.253
pysr,3,feynman-ii.11.20,results/W3/pysr/anon-node-01/g0003_feynman-ii.11.20/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-03/pysr/pysr/g0003_feynman-ii.11.20/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20,timed_out,3601.889
pysr,5,feynman-ii.11.27,results/W3/pysr/anon-node-01/g0005_feynman-ii.11.27/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-03/pysr/pysr/g0005_feynman-ii.11.27/result.json,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27,timed_out,3601.762
pysr,7,CRK22,results/W3/pysr/anon-node-01/g0007_CRK22/result.json,replaced,ok,/home/anonymous/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/anon-node-03/pysr/pysr/g0007_CRK22/result.json,/home/anonymous/sim-datasets-data/llm-srbench/chem_react/CRK22,timed_out,3601.732
