logical_key,condition,algorithm,dataset_id,seed,task_id,host,availability_status,q_star,m_eff,eff_score,unavailable_reason,required_action,evaluation_path,bundle_path,bundle_sha256,native_eff_schema_version
drsr::BPG3::s520::noise001,noise001,drsr,BPG3,520,drsr_s520_noise001_g0005,anon-node-06,available,0.601026346839518,0.5281082248917193,52.810822489171926,,,frozen_execution_snapshot_post_native_selection.v1,AAAI_experiments/stage5_metric_calculation_0831/work/noise_trajectory_freeze_v1/collected/noise_freeze_anon-node-06.jsonl.gz,38c9dc475b84b20b1216c237f28091073f11250cf60f90ac08c5189058bfc317,algorithm_native_internal_best_so_far.v1
drsr::BPG3::s521::noise001,noise001,drsr,BPG3,521,drsr_s521_noise001_g0005,anon-node-06,available,0.36633513713142274,0.8523608631172951,85.23608631172951,,,frozen_execution_snapshot_post_native_selection.v1,AAAI_experiments/stage5_metric_calculation_0831/work/noise_trajectory_freeze_v1/collected/noise_freeze_anon-node-06.jsonl.gz,38c9dc475b84b20b1216c237f28091073f11250cf60f90ac08c5189058bfc317,algorithm_native_internal_best_so_far.v1
drsr::BPG3::s522::noise001,noise001,drsr,BPG3,522,drsr_s522_noise001_g0005,anon-node-02,available,0.5055765292454114,0.5872854901600892,58.72854901600893,,,frozen_execution_snapshot_post_native_selection.v1,AAAI_experiments/stage5_metric_calculation_0831/work/noise_trajectory_freeze_v1/collected/noise_freeze_anon-node-02.jsonl.gz,864fd8360b3dd3979edc019b25b3eb0de5bf21b945bc33af7f97d6d39dcb66ec,algorithm_native_internal_best_so_far.v1
drsr::BPG5::s520::noise001,noise001,drsr,BPG5,520,drsr_s520_noise001_g0006,anon-node-06,available,0.5391825507596824,0.8179684465839472,81.79684465839472,,,frozen_execution_snapshot_post_native_selection.v1,AAAI_experiments/stage5_metric_calculation_0831/work/noise_trajectory_freeze_v1/collected/noise_freeze_anon-node-06.jsonl.gz,38c9dc475b84b20b1216c237f28091073f11250cf60f90ac08c5189058bfc317,algorithm_native_internal_best_so_far.v1
drsr::BPG5::s521::noise001,noise001,drsr,BPG5,521,drsr_s521_noise001_g0006,anon-node-06,available,0.42230266376051145,0.3460856148745569,34.60856148745569,,,frozen_execution_snapshot_post_native_selection.v1,AAAI_experiments/stage5_metric_calculation_0831/work/noise_trajectory_freeze_v1/collected/noise_freeze_anon-node-06.jsonl.gz,38c9dc475b84b20b1216c237f28091073f11250cf60f90ac08c5189058bfc317,algorithm_native_internal_best_so_far.v1
drsr::BPG5::s522::noise001,noise001,drsr,BPG5,522,drsr_s522_noise001_g0006,anon-node-02,available,0.45144091965993793,0.9596478150412799,95.964781504128,,,frozen_execution_snapshot_post_native_selection.v1,AAAI_experiments/stage5_metric_calculation_0831/work/noise_trajectory_freeze_v1/collected/noise_freeze_anon-node-02.jsonl.gz,864fd8360b3dd3979edc019b25b3eb0de5bf21b945bc33af7f97d6d39dcb66ec,algorithm_native_internal_best_so_far.v1
drsr::BPG9::s520::noise001,noise001,drsr,BPG9,520,drsr_s520_noise001_g0007,anon-node-06,available,0.4948404923490719,0.712779745671971,71.2779745671971,,,frozen_execution_snapshot_post_native_selection.v1,AAAI_experiments/stage5_metric_calculation_0831/work/noise_trajectory_freeze_v1/collected/noise_freeze_anon-node-06.jsonl.gz,38c9dc475b84b20b1216c237f28091073f11250cf60f90ac08c5189058bfc317,algorithm_native_internal_best_so_far.v1
drsr::BPG9::s521::noise001,noise001,drsr,BPG9,521,drsr_s521_noise001_g0007,anon-node-06,available,0.4856534528380903,0.8572811672346259,85.72811672346259,,,frozen_execution_snapshot_post_native_selection.v1,AAAI_experiments/stage5_metric_calculation_0831/work/noise_trajectory_freeze_v1/collected/noise_freeze_anon-node-06.jsonl.gz,38c9dc475b84b20b1216c237f28091073f11250cf60f90ac08c5189058bfc317,algorithm_native_internal_best_so_far.v1
drsr::BPG9::s522::noise001,noise001,drsr,BPG9,522,drsr_s522_noise001_g0007,anon-node-02,available,0.2697538896981978,0.3934327291553989,39.34327291553989,,,frozen_execution_snapshot_post_native_selection.v1,AAAI_experiments/stage5_metric_calculation_0831/work/noise_trajectory_freeze_v1/collected/noise_freeze_anon-node-02.jsonl.gz,864fd8360b3dd3979edc019b25b3eb0de5bf21b945bc33af7f97d6d39dcb66ec,algorithm_native_internal_best_so_far.v1
drsr::CRK0::s520::noise001,noise001,drsr,CRK0,520,drsr_s520_noise001_g0008,anon-node-06,available,0.4960528284092984,0.9373045188361102,93.73045188361102,,,frozen_execution_snapshot_post_native_selection.v1,AAAI_experiments/stage5_metric_calculation_0831/work/noise_trajectory_freeze_v1/collected/noise_freeze_anon-node-06.jsonl.gz,38c9dc475b84b20b1216c237f28091073f11250cf60f90ac08c5189058bfc317,algorithm_native_internal_best_so_far.v1
drsr::CRK0::s521::noise001,noise001,drsr,CRK0,521,drsr_s521_noise001_g0008,anon-node-06,available,0.5065997506389357,0.9177364952435698,91.77364952435698,,,frozen_execution_snapshot_post_native_selection.v1,AAAI_experiments/stage5_metric_calculation_0831/work/noise_trajectory_freeze_v1/collected/noise_freeze_anon-node-06.jsonl.gz,38c9dc475b84b20b1216c237f28091073f11250cf60f90ac08c5189058bfc317,algorithm_native_internal_best_so_far.v1
drsr::CRK0::s522::noise001,noise001,drsr,CRK0,522,drsr_s522_noise001_g0008,anon-node-02,available,0.5149208032986552,0.9820316739340088,98.20316739340088,,,frozen_execution_snapshot_post_native_selection.v1,AAAI_experiments/stage5_metric_calculation_0831/work/noise_trajectory_freeze_v1/collected/noise_freeze_anon-node-02.jsonl.gz,864fd8360b3dd3979edc019b25b3eb0de5bf21b945bc33af7f97d6d39dcb66ec,algorithm_native_internal_best_so_far.v1
