package_path	source_path	why_included
README.md	manual_curation_20260725	Stage4 整理包入口说明，明确当前目录改为 NeurIPS Core-50 最终阶段
EXPERIMENT_PATHS.md	manual_curation_20260725	记录冻结包路径、run_archive 来源和失效软链处理规则
SOURCE_MAP.tsv	manual_curation_20260725	本目录来源映射
core50_manifest/	frozen-results/neurips26/final-experiments/03_core50_12alg_final/core50_manifest/	Core-50 冻结数据集清单与路径映射
collected_results/	frozen-results/neurips26/final-experiments/03_core50_12alg_final/collected_results/	NeurIPS clean leaderboard、run-level 汇总和 Probe-4 对照表
formal_analysis/	frozen-results/neurips26/final-experiments/03_core50_12alg_final/formal_analysis/	NeurIPS formal symbolic fidelity 分析
hexagon/	frozen-results/neurips26/final-experiments/03_core50_12alg_final/hexagon/	NeurIPS 六维 hexagon 分析
noise_robustness/	frozen-results/neurips26/final-experiments/03_core50_12alg_final/noise_robustness/	9000 条 noisy-training/clean-test run-level 记录及三档 sigma 汇总；不含逐任务原始 JSON
paper_tables/	frozen-results/neurips26/final-experiments/03_core50_12alg_final/paper_tables/	clean 主榜、noise robustness 和其它论文表格导出
raw_results/README.md	manual_curation_20260725	说明原冻结包中的 raw_results/core50_12alg_5seed_all_20260502-065700 失效软链未复制
runtime_params_1h_effective/	frozen-results/neurips26/final-experiments/03_core50_12alg_final/runtime_params_1h_effective/	1h 正式有效搜索参数
runtime_params_24h_effective/	frozen-results/neurips26/final-experiments/03_core50_12alg_final/runtime_params_24h_effective/	24h 对照参数快照
runtime_params_3h_effective/	frozen-results/neurips26/final-experiments/03_core50_12alg_final/runtime_params_3h_effective/	3h 对照参数快照
runtime_params_active/	frozen-results/neurips26/final-experiments/03_core50_12alg_final/runtime_params_active/	当时 active 参数目录
runtime_params_active.README.md	frozen-results/neurips26/final-experiments/03_core50_12alg_final/runtime_params_active.README.md	active 参数说明
runtime_queue_4alg_budgetfix_3seed_20260523-005312/	frozen-results/neurips26/final-experiments/03_core50_12alg_final/runtime_queue_4alg_budgetfix_3seed_20260523-005312/	4 算法预算修复队列状态快照
runtime_queue_5alg_budgetfix_smoke_20260523/	frozen-results/neurips26/final-experiments/03_core50_12alg_final/runtime_queue_5alg_budgetfix_smoke_20260523/	预算修复 smoke 材料
runtime_queue_core50_12alg_5x3h_20260523-215546/	frozen-results/neurips26/final-experiments/03_core50_12alg_final/runtime_queue_core50_12alg_5x3h_20260523-215546/	后续 5x3h 队列与状态快照
runtime_queue_tpsr_short4_20260522/	frozen-results/neurips26/final-experiments/03_core50_12alg_final/runtime_queue_tpsr_short4_20260522/	tpsr 短批次队列材料
run_archive/analysis/	exp-planning/04.Core50正式全量评测/generated/core50_12alg_5seed_final_results/analysis/	运行归档分析目录，补充 host 并发表和 JSON 摘要
run_archive/manifest.csv	exp-planning/04.Core50正式全量评测/generated/core50_12alg_5seed_final_results/manifest.csv	3000 条任务清单，含 raw_result_json 追溯字段
run_archive/summary.json	exp-planning/04.Core50正式全量评测/generated/core50_12alg_5seed_final_results/summary.json	批次完成度摘要，确认 expected=3000 且 final=3000
run_archive/state/	exp-planning/04.Core50正式全量评测/generated/core50_12alg_5seed_final_results/state/	批次状态文件
run_archive/results/	exp-planning/04.Core50正式全量评测/generated/core50_12alg_5seed_final_results/results/	3000 个 run 级归档 JSON，覆盖 12 算法 x 50 数据集 x 5 seeds
