package_path	source_path	why_included
README.md	manual_curation_20260720	整理包入口说明，解释范围、口径和校验方法
01_v02_selection_digest/	眼不见为净/exp-planning/02.E1选择验证/probe4_v02_readable_selection_20260429/	最新可读 Probe-4 选择消化包，包含 200×12 主表、算法摘要、数据集摘要和选择说明
02_candidate200_inputs/candidate200_unified_with_paths.csv	眼不见为净/exp-planning/02.E1选择验证/candidate200_unified.csv	Candidate-200 输入清单，用于追每个数据集来源路径
02_candidate200_inputs/pipeline_stage_overview.csv	frozen-results/neurips26/final-experiments/00_pipeline_overview/pipeline_stage_overview.csv	冻结版阶段总览，用于把 Candidate-200、Probe-4 和 Core-50 链起来
02_candidate200_inputs/stage1_candidate200_flat.csv	frozen-results/neurips26/final-experiments/00_pipeline_overview/stage1_candidate200_flat.csv	阶段一 Candidate-200 展平结果
02_candidate200_inputs/stage1_probe_family_wins.csv	frozen-results/neurips26/final-experiments/00_pipeline_overview/stage1_probe_family_wins.csv	阶段一探针族胜出摘要
02_candidate200_inputs/stage2_formal_family_wins.csv	frozen-results/neurips26/final-experiments/00_pipeline_overview/stage2_formal_family_wins.csv	阶段二 12 算法正式校准的 family wins 摘要
02_candidate200_inputs/stage2_master100_selection_basis.csv	frozen-results/neurips26/final-experiments/00_pipeline_overview/stage2_master100_selection_basis.csv	阶段二后续筛选依据
03_e1_12alg_calibration/	frozen-results/neurips26/final-experiments/02_candidate200_12alg_calibration/	冻结版 E1 12 算法校准证据，用于复盘 Probe-4 选择依据
04_semantic_llm_override/	眼不见为净/exp-planning/02.E1选择验证/semantic200_llm_physics_v2_comparison_20260430/	llmsr/drsr 语义物理覆盖证据，是 v02 readable 选择包的语义覆盖来源
05_downstream_freeze_probe4_full664/README.md	manual_curation_20260720	Probe-4 full664 下游验证位于 A_Neurips_experiments/stage3_664dats_4probes_3seeds_1h
06_merged_tables/	manual_curation_20260720	从 stage2 长表派生出的 Candidate-200/E1 算法横向大表，便于按相同任务直接比较不同算法
07_stage2_run_provenance/raw_clean_archive/	眼不见为净/exp-planning/02.E1选择验证/e1_final_results_20260424-041046_clean/	第二阶段 clean archive 的聚合原始结果、索引、host 摘要和修复记录
07_stage2_run_provenance/generated/wave_manifest.csv	眼不见为净/exp-planning/02.E1选择验证/generated/wave_manifest.csv	第二阶段生成的 wave 分发清单
07_stage2_run_provenance/generated/launch/	眼不见为净/exp-planning/02.E1选择验证/generated/launch/	第二阶段启动脚本快照
07_stage2_run_provenance/generated/slices/	眼不见为净/exp-planning/02.E1选择验证/generated/slices/	第二阶段 wave/algorithm/host 切片
07_stage2_run_provenance/generated/remote_jobs/	眼不见为净/exp-planning/02.E1选择验证/generated/remote_jobs/	第二阶段远端 job 脚本
07_stage2_run_provenance/generated/remaining5_full200_v1/	眼不见为净/exp-planning/02.E1选择验证/generated/remaining5_full200_v1/	e2esr、iMCTS、QLattice、ragsr、udsr 的 full Candidate-200 分发材料
07_stage2_run_provenance/generated/params/	眼不见为净/exp-planning/02.E1选择验证/generated/params/	第二阶段生成参数文件
07_stage2_run_provenance/hyperparams_snapshot_20260423/	眼不见为净/exp-planning/02.E1选择验证/hyperparams_snapshot_20260423/	第二阶段运行前冻结的超参数快照
07_stage2_run_provenance/docs/	眼不见为净/exp-planning/02.E1选择验证/*.md	第二阶段说明、运行摘要、修复摘要和 semantic 计划文档
99_audit/build_merged_tables.py	manual_curation_20260720	横向大表生成脚本，可在上游 CSV 替换后重新生成
99_audit/file_inventory.tsv	manual_curation_20260720	整理包文件清单
99_audit/checksums.sha256	manual_curation_20260720	搬迁完整性校验哈希
