package_path	source_path	why_included
README.md	manual_curation_20260720	阶段一整理包入口说明
01_probe_run_results/README_original.md	experiment-results/benchmark_formal200_20260417/README.md	原 benchmark formal200 结果目录说明
01_probe_run_results/one_seed_probe_summary.md	experiment-results/benchmark_formal200_20260417/one_seed_probe_summary.md	阶段一双探针运行摘要
01_probe_run_results/one_seed_probe_task_results_1328.csv	experiment-results/benchmark_formal200_20260417/one_seed_probe_task_results.csv	664×2 双探针任务级结果
01_probe_run_results/one_seed_probe_dataset_compare_664.csv	experiment-results/benchmark_formal200_20260417/one_seed_probe_dataset_compare.csv	每个数据集一行的 PySR/LLMSR 对比结果
01_probe_run_results/one_seed_probe_formulas_1328.csv	experiment-results/benchmark_formal200_20260417/one_seed_probe_formulas.csv	双探针公式结果表
02_candidate200_selection/README_original_dossier.md	experiment-results/benchmark_selection_dossier_20260422/README.md	选择 dossier 原始说明
02_candidate200_selection/01_stage_664_to_200.md	experiment-results/benchmark_selection_dossier_20260422/01_stage_664_to_200.md	664 到 Candidate-200 的阶段说明
02_candidate200_selection/03_metrics_catalog.md	experiment-results/benchmark_selection_dossier_20260422/03_metrics_catalog.md	指标说明
02_candidate200_selection/pipeline_stage_overview.csv	experiment-results/benchmark_selection_dossier_20260422/tables/pipeline_stage_overview.csv	阶段总览表
02_candidate200_selection/stage1_candidate200_flat_200.csv	experiment-results/benchmark_selection_dossier_20260422/tables/stage1_candidate200_flat.csv	Candidate-200 最终清单
02_candidate200_selection/stage1_probe_family_wins.csv	experiment-results/benchmark_selection_dossier_20260422/tables/stage1_probe_family_wins.csv	阶段一 family/probe 胜出摘要
03_launch_materials/	眼不见为净/exp-planning/01.双探针实验/	第一阶段启动脚本、参数计划、数据集清单和 host 切片
04_iteration_analysis/stage1_llmsr_iteration_rows.csv	experiment-results/benchmark_formal200_20260417/analysis/stage1_llmsr_iteration_rows.csv	LLMSR 迭代行级分析
04_iteration_analysis/stage1_llmsr_iteration_summary.json	experiment-results/benchmark_formal200_20260417/analysis/stage1_llmsr_iteration_summary.json	LLMSR 迭代摘要
99_audit/file_inventory.tsv	manual_curation_20260720	整理包文件清单
99_audit/checksums.sha256	manual_curation_20260720	搬迁完整性校验哈希
