package_path	source_path	why_included
README.md	manual_curation_20260720	阶段三整理包入口说明
README_original.md	exp-planning/03.四探针全量664三种子验证/generated/postprocess_final_20260501-105508/README.md	原 postprocess 目录说明
probe4_postprocess_run_level.csv	exp-planning/03.四探针全量664三种子验证/generated/postprocess_final_20260501-105508/probe4_postprocess_run_level.csv	7968 条 dataset×algorithm×seed 运行级后处理结果
probe4_current_run_level_raw_digest_7968.csv	frozen-results/neurips26/final-experiments/01_probe4_full664_4alg_3seed/raw_digest/probe4_current_run_level.csv	7968 条 raw digest，包含远端 result_result_path，可用于追原始 result.json
probe4_current_method_seed_coverage.csv	frozen-results/neurips26/final-experiments/01_probe4_full664_4alg_3seed/raw_digest/probe4_current_method_seed_coverage.csv	method×seed 覆盖摘要
probe4_final_digest_summary.json	frozen-results/neurips26/final-experiments/01_probe4_full664_4alg_3seed/raw_digest/probe4_final_digest_summary.json	raw digest 总体摘要
probe4_postprocess_dataset_algorithm.csv	exp-planning/03.四探针全量664三种子验证/generated/postprocess_final_20260501-105508/probe4_postprocess_dataset_algorithm.csv	2656 条 dataset×algorithm 跨 seed 汇总结果
probe4_postprocess_dataset_level.csv	exp-planning/03.四探针全量664三种子验证/generated/postprocess_final_20260501-105508/probe4_postprocess_dataset_level.csv	664 条 dataset 级选择诊断结果
probe4_postprocess_summary.json	exp-planning/03.四探针全量664三种子验证/generated/postprocess_final_20260501-105508/probe4_postprocess_summary.json	总体完成度摘要
selection_constraints_report.md	exp-planning/03.四探针全量664三种子验证/generated/postprocess_final_20260501-105508/selection_constraints_report.md	Core-50/SSR-50 选择前约束检查报告
SOURCE_MAP.tsv	manual_curation_20260720	来源映射
FILE_INVENTORY.tsv	manual_curation_20260720	文件清单
CHECKSUMS.sha256	manual_curation_20260720	搬迁完整性校验哈希
